temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion
197.38812,0.019881618214963506,1.9815970431842834e-05,1.5166409843347487e-43,1.6022070736656118e-15,0.00549601978847269,2.260942712720287e-05,5.054202822949399e-58,3.394314000981277e-19,0.0031175934535219683,1.6487964548753026e-05,4.15466985439982e-82,4.423865171863794e-15
198.34304,0.020933202783077174,2.1801614101387363e-05,2.9997661580263424e-43,1.9470984205497263e-15,0.0058102185112133935,2.4488746273105696e-05,1.1194955969168657e-57,4.197462529486793e-19,0.003277360055309396,1.765206110135084e-05,1.081323809982659e-81,5.071014829301667e-15
199.29795,0.022038674272015467,2.3986205592146552e-05,5.931187734207378e-43,2.3651485379850166e-15,0.006142176351774428,2.6511403319967217e-05,2.483503596652294e-57,5.190299403920747e-19,0.0034452621317829822,1.8898729175760182e-05,2.8085463999617836e-81,5.810908864397833e-15
200.25287,0.023200611720291614,2.6389675248532136e-05,1.1735982934565863e-42,2.8730794306688947e-15,0.006492873700884917,2.870925113466713e-05,5.499537221565292e-57,6.417219769074902e-19,0.003621708733787936,2.023282592032291e-05,7.289312249327917e-81,6.660035166513768e-15
201.20778,0.024421697258899037,2.9033947995583544e-05,2.3229477431275666e-42,3.491793604473124e-15,0.006863341993124204,3.108228971720545e-05,1.2183719849750857e-56,7.93472653650241e-19,0.003807128722145973,2.1660827532828157e-05,1.8954322784549252e-80,7.632820638840761e-15
202.1627,0.02570472085920978,3.194314434321722e-05,4.592622666467734e-42,4.242193565269471e-15,0.007254666790107444,3.366237193446188e-05,2.7019344707431016e-56,9.81143038451781e-19,0.004001972070553619,2.3189210211065065e-05,4.924329863780636e-80,8.74781415691047e-15
203.11761,0.027052579768539052,3.5143812314206574e-05,9.091338946745561e-42,5.1535428212784035e-15,0.007667989431079899,3.644949778643641e-05,5.989682836639252e-56,1.2132085680450834e-18,0.004206710457808713,2.482445015282277e-05,1.2809476470207074e-79,1.0025625582424742e-14
204.07253,0.02846828305883112,3.866515937216198e-05,1.7972675603294045e-41,6.2613756324819244e-15,0.008104510458678703,3.9475520140008766e-05,1.3271637894987752e-55,1.499759048064639e-18,0.004421838600320036,2.657302355589042e-05,3.328582543546684e-79,1.1490986749425784e-14
205.02744,0.029954950464586298,4.253929981137603e-05,3.5544516274179225e-41,7.60749701062356e-15,0.008565491238383871,4.274043899517893e-05,2.9411493509387043e-55,1.854920206398736e-18,0.0046478749627791175,2.845112091474086e-05,8.660443582177894e-79,1.3170690478125994e-14
205.98236,0.03151581669913222,4.6801563994130174e-05,7.030159825560572e-41,9.24416322038272e-15,0.009052257571139796,4.6276107218826627e-05,6.527783931916324e-55,2.292817770935663e-18,0.004885363209115164,3.0458742229374088e-05,2.247822430201089e-78,1.5095651561078137e-14
206.93727,0.03315422942929657,5.149083851173202e-05,1.3905069021105144e-40,1.1234081779374703e-14,0.009566201437379416,5.0114377677831556e-05,1.446185436862439e-54,2.8356493140713004e-18,0.005134872794721559,3.261207799426295e-05,5.852460878853174e-78,1.7300906763175345e-14
207.89219,0.03487365316005123,5.66499063455526e-05,2.750361444927295e-40,1.3658772460499389e-14,0.010108784827648723,5.427117680563357e-05,3.204179811023439e-54,3.50561240820153e-18,0.005397000713524051,3.491112820940746e-05,1.5189475749320033e-77,1.983591975250204e-14
208.8471,0.036677666279526566,6.232581795179429e-05,5.4401322993150065e-40,1.6606025788418185e-14,0.010681541362057786,5.876243103567254e-05,7.089700607082527e-54,4.334994431356723e-18,0.005672372119818577,3.737208336928045e-05,3.944568864337469e-77,2.2741910252461913e-14
209.80202,0.038569964412422185,6.857033965558548e-05,1.0760488316227575e-39,2.018035429248992e-14,0.011286080370051566,6.361999323482817e-05,1.5721860556324514e-53,5.36011868382105e-18,0.005961642075339444,4.001113396835477e-05,1.0252686149478619e-76,2.606009798645865e-14
210.75693,0.04055435633615026,7.54404175069404e-05,2.128408860688548e-39,2.4507173007945176e-14,0.011924088509860936,6.889164270341999e-05,3.485180103787291e-53,6.62739827151317e-18,0.00626549628954246,4.282828000663043e-05,2.662375243710684e-76,2.9872922401299614e-14
211.71185,0.04263476657059831,8.299870298418052e-05,4.209973590765899e-39,2.977460448762984e-14,0.012597334003989939,7.459330587488789e-05,7.724636521451033e-53,8.193336105986236e-18,0.006584653014729738,4.585590247305312e-05,6.917851190036063e-76,3.424221308209035e-14
212.66676,0.04481522996618899,9.131412508295166e-05,8.327285802404171e-39,3.6170771284389776e-14,0.013307668071807081,8.077276204955144e-05,1.711979863484781e-52,1.0130578787808585e-17,0.006919863756721502,4.909400136762284e-05,1.7982088650482048e-75,3.9250409475638217e-14
213.62168,0.047099893563197014,0.0001004625087908373,1.647132639657912e-38,4.394650346868618e-14,0.014057029351892321,8.746186409429032e-05,3.794078297837896e-52,1.2531952528817539e-17,0.007271915347648846,5.255876718481245e-05,4.676913181680079e-75,4.497995102875059e-14
214.57659,0.04949300938689623,0.00011052725540943315,3.258009746118995e-38,5.3394436122723744e-14,0.014847445178911914,9.470839130942412e-05,8.408256514791505e-52,1.549835538535801e-17,0.007641630597402882,5.626639041909478e-05,1.2136512193473978e-74,5.155449691163853e-14
215.53151,0.05199893547682432,0.00012160013110947901,6.444319879547771e-38,6.489081435219424e-14,0.01568103597482212,0.00010254419656183252,1.8633914734003284e-51,1.9150865025043898e-17,0.00802987063292943,6.023306156494269e-05,3.1536476066427905e-74,5.907709643281125e-14
216.48642,0.05462212695542142,0.00013378207094785598,1.2746789196408993e-37,7.885368827453294e-14,0.01656001637002759,0.00011103298558527495,4.1295223018213325e-51,2.3671097949296047e-17,0.008437535490455516,6.448623970098213e-05,8.185122107886326e-74,6.77126284858835e-14
