temperature;rate_3;rate_5;rate_10;rate_3_diff;rate_5_diff;rate_10_diff;rate_3_diff_reaction_0;rate_3_diff_reaction_1;rate_3_diff_reaction_2;rate_3_diff_reaction_3;rate_3_diff_reaction_4;rate_3_diff_reaction_5;rate_3_diff_reaction_6;rate_3_diff_cumulative;rate_5_diff_reaction_0;rate_5_diff_reaction_1;rate_5_diff_reaction_2;rate_5_diff_reaction_3;rate_5_diff_reaction_4;rate_5_diff_reaction_5;rate_5_diff_reaction_6;rate_5_diff_cumulative;rate_10_diff_reaction_0;rate_10_diff_reaction_1;rate_10_diff_reaction_2;rate_10_diff_reaction_3;rate_10_diff_reaction_4;rate_10_diff_reaction_5;rate_10_diff_reaction_6;rate_10_diff_cumulative
261.15843;80.74745;86.69476;90.2043;0.541539032;0.487847943;0.266643081;0.035226229;0.234132465;0.246912401;4.83E-02;2.11E-73;4.50E-15;4.14E-13;0.564613914;0.112515887;0.228241399;0.093873379;1.98E-02;4.60E-57;9.00E-18;2.44E-12;0.454384836;0.194371381;0.050806864;0.018434467;2.30E-03;6.87E-61;3.02E-30;4.10E-17;0.265915972
262.11335;80.20109;86.23844;89.95212;0.562035699;0.504694591;0.263863314;0.031676981;0.230486726;0.269841274;5.06E-02;1.42E-72;6.19E-15;5.26E-13;0.582581997;0.104998;0.238877725;0.107266327;2.08E-02;1.52E-56;1.24E-17;2.95E-12;0.471935201;0.187911904;0.055036215;0.020218303;2.47E-03;1.98E-60;4.86E-30;5.21E-17;0.265631524
263.06826;79.6718;85.74609;89.69375;0.579822729;0.520968333;0.26432238;0.028454946;0.225122953;0.293631114;5.29E-02;9.62E-72;8.51E-15;6.68E-13;0.600117189;0.097723029;0.248407669;0.122126348;2.19E-02;5.01E-56;1.70E-17;3.57E-12;0.490141746;0.180986433;0.059538315;0.022168038;2.64E-03;5.73E-60;7.84E-30;6.61E-17;0.265331044
264.02318;79.14;85.2553;89.44208;0.595887752;0.536528775;0.264418116;0.025535593;0.218124914;0.318099416;5.53E-02;6.49E-71;1.17E-14;8.48E-13;0.617099891;0.090722737;0.256627014;0.138489129;2.30E-02;1.65E-55;2.34E-17;4.32E-12;0.508870167;0.173650226;0.064317084;0.0242978;2.82E-03;1.66E-59;1.26E-29;8.40E-17;0.265088623
264.97809;78.56018;84.74149;89.19428;0.607196813;0.549843249;0.267279821;0.022895228;0.209632715;0.343039176;5.79E-02;4.38E-70;1.61E-14;1.08E-12;0.633443163;0.084022593;0.263347859;0.156355537;2.42E-02;5.45E-55;3.21E-17;5.23E-12;0.527961404;0.165966011;0.069373739;0.026622556;3.02E-03;4.79E-59;2.04E-29;1.07E-16;0.264984011
265.93301;78.00809;84.21511;88.9391;0.627654712;0.563372339;0.266901319;0.020510989;0.199835951;0.3682274;6.05E-02;2.96E-69;2.21E-14;1.37E-12;0.649094576;0.077641417;0.26840504;0.175686084;2.55E-02;1.80E-54;4.42E-17;6.33E-12;0.547232269;0.158002055;0.074706782;0.029158302;3.23E-03;1.38E-58;3.28E-29;1.35E-16;0.265100865
266.88792;77.37916;83.67162;88.68851;0.642737988;0.576722808;0.267028879;0.018361234;0.188964177;0.393430674;6.33E-02;2.00E-68;3.04E-14;1.74E-12;0.664032421;0.071592332;0.271660974;0.196393927;2.68E-02;5.93E-54;6.07E-17;7.66E-12;0.566474144;0.149831172;0.080311147;0.031921858;3.46E-03;4.00E-58;5.29E-29;1.72E-16;0.265524702
267.84284;76.75708;83.12902;88.42967;0.662272365;0.587806726;0.269137615;0.016425449;0.17727293;0.418415489;6.61E-02;1.35E-67;4.18E-14;2.20E-12;0.678262188;0.065882728;0.273011155;0.218343296;2.82E-02;1.96E-53;8.35E-17;9.28E-12;0.58545697;0.141528199;0.086178237;0.034931057;3.70E-03;1.15E-57;8.53E-29;2.18E-16;0.266340616
268.79775;76.13652;82.56329;88.17552;0.677108948;0.601981242;0.269737822;0.014684493;0.16502999;0.442954146;6.91E-02;9.11E-67;5.74E-14;2.80E-12;0.691808735;0.060515341;0.272388587;0.241347765;2.97E-02;6.46E-53;1.15E-16;1.12E-11;0.603932925;0.133168684;0.092295051;0.038204471;3.96E-03;3.34E-57;1.38E-28;2.77E-16;0.267630806
269.75267;75.49179;81.98911;87.90678;0.691614706;0.615637989;0.275207511;0.013120456;0.152499877;0.466833743;7.23E-02;6.15E-66;7.90E-14;3.55E-12;0.704709865;0.055488394;0.269768132;0.26517586;3.12E-02;2.13E-52;1.58E-16;1.36E-11;0.621646626;0.124826194;0.09864432;0.041761599;4.24E-03;9.64E-57;2.22E-28;3.52E-16;0.269472231
