temperature;rate_3;rate_5;rate_10;rate_3_diff;rate_5_diff;rate_10_diff;rate_3_diff_reaction_0;rate_3_diff_reaction_1;rate_3_diff_reaction_2;rate_3_diff_reaction_3;rate_3_diff_reaction_4;rate_3_diff_reaction_5;rate_3_diff_reaction_6;rate_3_diff_cumulative;rate_5_diff_reaction_0;rate_5_diff_reaction_1;rate_5_diff_reaction_2;rate_5_diff_reaction_3;rate_5_diff_reaction_4;rate_5_diff_reaction_5;rate_5_diff_reaction_6;rate_5_diff_cumulative;rate_10_diff_reaction_0;rate_10_diff_reaction_1;rate_10_diff_reaction_2;rate_10_diff_reaction_3;rate_10_diff_reaction_4;rate_10_diff_reaction_5;rate_10_diff_reaction_6;rate_10_diff_cumulative
432.68021;38.36727;40.32086;39.75062;0.010907353;0.014897017;0.006835025;3.12E-15;1.04956E-13;0;0.00E+00;5.83E-08;8.89E-07;1.44E-15;9.47E-07;7.93E-13;1.41598E-13;0;0.00E+00;5.03E-07;1.70E-07;0.00E+00;6.74E-07;9.21E-08;3.13E-10;3.89E-11;1.60E-06;8.92E-06;3.11E-06;1.57E-08;1.37E-05
433.63513;38.35633;40.2993;39.74431;0.011300008;0.016611502;0.007656087;2.63E-15;8.67706E-14;0;0.00E+00;4.72E-08;7.34E-07;7.77E-16;7.82E-07;6.76E-13;1.16962E-13;0;0.00E+00;4.16E-07;1.34E-07;0.00E+00;5.50E-07;8.28E-08;2.67E-10;3.14E-11;1.26E-06;7.02E-06;2.26E-06;8.32E-09;1.06E-05
434.59004;38.35008;40.29327;39.72895;0.012548255;0.016675809;0.00921608;2.14E-15;7.17026E-14;0;0.00E+00;3.83E-08;6.07E-07;3.89E-16;6.45E-07;5.77E-13;9.66005E-14;0;0.00E+00;3.43E-07;1.06E-07;0.00E+00;4.49E-07;7.45E-08;2.27E-10;2.54E-11;9.94E-07;5.53E-06;1.65E-06;4.40E-09;8.25E-06
435.54496;38.33754;40.27512;39.71722;0.01251288;0.015086519;0.010651486;1.81E-15;5.92326E-14;0;0.00E+00;3.10E-08;5.01E-07;2.22E-16;5.32E-07;4.92E-13;7.98139E-14;0;0.00E+00;2.84E-07;8.32E-08;0.00E+00;3.67E-07;6.70E-08;1.94E-10;2.06E-11;7.83E-07;4.36E-06;1.20E-06;2.33E-09;6.41E-06
436.49987;38.32544;40.26239;39.70641;0.011416029;0.014137245;0.011358398;1.48E-15;4.88409E-14;0;0.00E+00;2.51E-08;4.14E-07;1.11E-16;4.39E-07;4.20E-13;6.59806E-14;0;0.00E+00;2.34E-07;6.56E-08;0.00E+00;3.00E-07;6.02E-08;1.65E-10;1.66E-11;6.17E-07;3.43E-06;8.71E-07;1.23E-09;4.98E-06
437.45479;38.31384;40.25219;39.69986;0.010939352;0.013660417;0.010350873;1.15E-15;4.03544E-14;0;0.00E+00;2.04E-08;3.42E-07;5.55E-17;3.63E-07;3.58E-13;5.44786E-14;0;0.00E+00;1.94E-07;5.16E-08;0.00E+00;2.45E-07;5.42E-08;1.41E-10;1.34E-11;4.86E-07;2.70E-06;6.34E-07;6.52E-10;3.88E-06
438.4097;38.30138;40.22984;39.69051;0.010955479;0.013535949;0.009357049;9.86E-16;3.34266E-14;0;0.00E+00;1.65E-08;2.83E-07;5.55E-17;2.99E-07;3.05E-13;4.49973E-14;0;0.00E+00;1.60E-07;4.07E-08;0.00E+00;2.01E-07;4.87E-08;1.20E-10;1.09E-11;3.82E-07;2.13E-06;4.61E-07;3.45E-10;3.02E-06
439.36462;38.29173;40.21234;39.68322;0.010849138;0.015296568;0.007994489;8.22E-16;2.7538E-14;0;0.00E+00;1.34E-08;2.33509E-07;0;2.47E-07;2.60E-13;3.72258E-14;0;0.00E+00;1.32E-07;3.20E-08;0.00E+00;1.64E-07;4.38E-08;1.03E-10;8.80E-12;3.01E-07;1.68E-06;3.35E-07;1.83E-10;2.36E-06
440.31953;38.27859;40.2044;39.67076;0.009482423;0.014702378;0.007733505;6.57E-16;2.28617E-14;0;0.00E+00;1.08E-08;1.92913E-07;0;2.04E-07;2.22E-13;3.06977E-14;0;0.00E+00;1.09E-07;2.52E-08;0.00E+00;1.34E-07;3.94E-08;8.75E-11;7.11E-12;2.37E-07;1.32E-06;2.44E-07;9.66E-11;1.84E-06
441.27445;38.27436;40.19873;39.66554;0.008334281;0.014158897;0.007500028;4.93E-16;1.88782E-14;0;0.00E+00;8.79E-09;1.59374E-07;0;1.68E-07;1.89E-13;2.5413E-14;0;0.00E+00;9.02E-08;1.99E-08;0.00E+00;1.10E-07;3.54E-08;7.46E-11;5.75E-12;1.87E-07;1.04E-06;1.77E-07;5.11E-11;1.44E-06
442.22936;38.26752;40.18479;39.65906;0.00741963;0.015325934;0.007835803;4.93E-16;1.55875E-14;0;0.00E+00;7.13E-09;1.31667E-07;0;1.39E-07;1.61E-13;2.09832E-14;0;0.00E+00;7.45E-08;1.57E-08;0.00E+00;9.02E-08;3.19E-08;6.36E-11;4.65E-12;1.47E-07;8.19E-07;1.29E-07;2.70E-11;1.13E-06
443.18428;38.25786;40.16413;39.65173;0.006431567;0.014567166;0.00729095;3.29E-16;1.28164E-14;0;0.00E+00;5.78E-09;1.08776E-07;0;1.15E-07;1.38E-13;1.73306E-14;0;0.00E+00;6.16E-08;1.23E-08;0.00E+00;7.39E-08;2.87E-08;5.43E-11;3.76E-12;1.16E-07;6.45E-07;9.38E-08;1.43E-11;8.84E-07
