temperature;rate_3;rate_5;rate_10;rate_3_diff;rate_5_diff;rate_10_diff;rate_3_diff_reaction_0;rate_3_diff_reaction_1;rate_3_diff_reaction_2;rate_3_diff_reaction_3;rate_3_diff_reaction_4;rate_3_diff_reaction_5;rate_3_diff_reaction_6;rate_3_diff_cumulative;rate_5_diff_reaction_0;rate_5_diff_reaction_1;rate_5_diff_reaction_2;rate_5_diff_reaction_3;rate_5_diff_reaction_4;rate_5_diff_reaction_5;rate_5_diff_reaction_6;rate_5_diff_cumulative;rate_10_diff_reaction_0;rate_10_diff_reaction_1;rate_10_diff_reaction_2;rate_10_diff_reaction_3;rate_10_diff_reaction_4;rate_10_diff_reaction_5;rate_10_diff_reaction_6;rate_10_diff_cumulative
438.42571;44.73384;44.60102;45.0094;0.004421844;0.001358939;0.003439701;1.24E-09;0;0;0.00E+00;1.40E-09;1.77481E-07;0;1.80E-07;6.54E-11;0;0;0.00E+00;9.72E-10;4.04E-06;1.83E-15;4.04E-06;3.09E-07;0;0.00E+00;6.11E-16;1.04E-07;9.04E-05;2.86E-07;9.11E-05
439.38062;44.73315;44.60062;45.00734;0.004955152;0.000215215;0.00312622;1.13E-09;0;0;0.00E+00;1.16E-09;1.46625E-07;0;1.49E-07;5.80E-11;0;0;0.00E+00;7.66E-10;3.34E-06;7.19E-16;3.34E-06;2.86E-07;0;0.00E+00;4.07E-16;8.01E-08;7.13E-05;1.35E-07;7.18E-05
440.33554;44.71384;44.59833;45.0003;0.004540777;0.0000983;0.00258526;1.02E-09;0;0;0.00E+00;9.56E-10;1.21134E-07;0;1.23E-07;5.15E-11;0;0;0.00E+00;6.03E-10;2.76E-06;2.70E-16;2.76E-06;2.64E-07;0;0.00E+00;2.04E-16;6.15E-08;5.61E-05;6.36E-08;5.65E-05
441.29045;44.71281;44.60422;44.99607;0.003748497;0.001411144;0.001785171;9.32E-10;0;0;0.00E+00;7.90E-10;1.00074E-07;0;1.02E-07;4.57E-11;0;0;0.00E+00;4.75E-10;2.28E-06;1.20E-16;2.28E-06;2.44E-07;0;0.00E+00;1.02E-16;4.71E-08;4.42E-05;3.00E-08;4.45E-05
442.24537;44.71039;44.6002;44.99521;0.003065626;0.003401501;0.000549927;8.47E-10;0;0;0.00E+00;6.53E-10;8.26761E-08;0;8.42E-08;4.05E-11;0;0;0.00E+00;3.74E-10;1.88E-06;3.00E-17;1.88E-06;2.25E-07;0;0.00E+00;1.02E-16;3.62E-08;3.48E-05;1.41E-08;3.51E-05
443.20028;44.71262;44.59515;44.99521;0.000475718;0.004744344;-0.000612759;7.70E-10;0;0;0.00E+00;5.39E-10;6.83027E-08;0;6.96E-08;3.60E-11;0;0;0.00E+00;2.95E-10;1.56E-06;3.00E-17;1.56E-06;2.08E-07;0;0.00E+00;1.02E-16;2.77E-08;2.74E-05;6.66E-09;2.77E-05
444.1552;44.70936;44.58751;44.99981;-0.002167723;0.005571101;-0.001265413;7.00E-10;0;0;0.00E+00;4.45E-10;5.6428E-08;0;5.76E-08;3.19E-11;0;0;0.00E+00;2.32E-10;1.29E-06;0.00E+00;1.29E-06;1.92E-07;0;0.00E+00;0.00E+00;2.13E-08;2.16E-05;3.14E-09;2.18E-05
445.11011;44.71522;44.58305;45.00232;-0.002060084;0.005972955;-0.001453309;6.36E-10;0;0;0.00E+00;3.68E-10;4.66178E-08;0;4.76E-08;2.83E-11;0;0;0.00E+00;1.83E-10;1.06E-06;0.00E+00;1.06E-06;1.77E-07;0;0.00E+00;0.00E+00;1.63E-08;1.70E-05;1.48E-09;1.72E-05
446.06503;44.71832;44.57583;45.00316;0.000395184;0.005238837;-0.000735911;5.78E-10;0;0;0.00E+00;3.04E-10;3.85131E-08;0;3.94E-08;2.52E-11;0;0;0.00E+00;1.44E-10;8.77326E-07;0;8.77E-07;1.64E-07;0;0.00E+00;0.00E+00;1.25E-08;1.34E-05;6.97E-10;1.36E-05
447.01994;44.71074;44.57097;45.00278;0.002694588;0.004208382;0.000346615;5.25E-10;0;0;0.00E+00;2.51E-10;3.18175E-08;0;3.26E-08;2.23E-11;0;0;0.00E+00;1.13E-10;7.24802E-07;0;7.25E-07;1.51E-07;0;0.00E+00;0.00E+00;9.60E-09;1.06E-05;3.28E-10;1.07E-05
447.97486;44.71212;44.569;44.99849;0.004359028;0.003911746;0.001489396;4.77E-10;0;0;0.00E+00;2.07E-10;2.62859E-08;0;2.70E-08;1.98E-11;0;0;0.00E+00;8.93E-11;5.98793E-07;0;5.99E-07;1.40E-07;0;0;0.00E+00;7.36E-09;8.32E-06;1.55E-10;8.47E-06
448.92977;44.70703;44.56703;44.99772;0.005762703;0.003893246;0.002285701;4.34E-10;0;0;0.00E+00;1.71E-10;2.1716E-08;0;2.23E-08;1.76E-11;0;0;0.00E+00;7.03E-11;4.94692E-07;0;4.95E-07;1.29E-07;0;0;0.00E+00;5.65E-09;6.55E-06;7.29E-11;6.69E-06
449.88469;44.69764;44.56502;44.99814;0.006368112;0.003348477;0.002452494;3.94E-10;0;0;0.00E+00;1.42E-10;1.79406E-08;0;1.85E-08;1.56E-11;0;0;0.00E+00;5.54E-11;4.08689E-07;0;4.09E-07;1.19E-07;0;0;0.00E+00;4.33E-09;5.16E-06;3.43E-11;5.28E-06
450.8396;44.69074;44.56023;44.99313;0.005529551;0.002462171;0.002615659;3.59E-10;0;0;0.00E+00;1.17E-10;1.48216E-08;0;1.53E-08;1.38E-11;0;0;0.00E+00;4.36E-11;3.37637E-07;0;3.38E-07;1.10E-07;0;0;0.00E+00;3.32E-09;4.07E-06;1.62E-11;4.18E-06
451.79452;44.69074;44.55424;44.9923;0.003448722;0.002176598;0.002768923;3.26E-10;0;0;0.00E+00;9.66E-11;1.22448E-08;0;1.27E-08;1.23E-11;0;0;0.00E+00;3.44E-11;2.78938E-07;0;2.79E-07;1.02E-07;0;0;0.00E+00;2.55E-09;3.20E-06;7.62E-12;3.31E-06
452.74943;44.68384;44.55183;44.98812;0.002396474;0.001905675;0.002973641;2.96E-10;0;0;0.00E+00;7.98E-11;1.0116E-08;0;1.05E-08;1.09E-11;0;0;0.00E+00;2.71E-11;2.30444E-07;0;2.30E-07;9.37E-08;0;0;0.00E+00;1.95E-09;2.52E-06;3.59E-12;2.62E-06
453.70435;44.68384;44.55223;44.98694;0.002031798;0.001772576;0.002757065;2.69E-10;0;0;0.00E+00;6.60E-11;8.3573E-09;0;8.69E-09;9.68E-12;0;0;0.00E+00;2.13E-11;1.90381E-07;0;1.90E-07;8.66E-08;0;0;0.00E+00;1.50E-09;1.99E-06;1.69E-12;2.07E-06
454.65926;44.68315;44.55543;44.98344;0.002379725;0.001824548;0.001536626;2.45E-10;0;0;0.00E+00;5.45E-11;6.90436E-09;0;7.20E-09;8.59E-12;0;0;0.00E+00;1.68E-11;1.57282E-07;0;1.57E-07;7.99E-08;0;0;0.00E+00;1.15E-09;1.56E-06;7.98E-13;1.65E-06
455.61418;44.68143;44.55229;44.981;0.0030907;0.002165888;0.000419293;2.22E-10;0;0;0.00E+00;4.50E-11;5.70401E-09;0;5.97E-09;7.62E-12;0;0;0.00E+00;1.32E-11;1.29938E-07;0;1.30E-07;7.38E-08;0;0;0.00E+00;8.82E-10;1.23E-06;3.76E-13;1.31E-06
456.56909;44.67935;44.54784;44.98017;0.002998641;0.003131442;-0.000240757;2.02E-10;0;0;0.00E+00;3.72E-11;4.71235E-09;0;4.95E-09;6.77E-12;0;0;0.00E+00;1.04E-11;1.07348E-07;0;1.07E-07;6.82E-08;0;0;0.00E+00;6.77E-10;9.71E-07;1.77E-13;1.04E-06
457.52401;44.67251;44.54424;44.98263;0.003364747;0.004163987;-0.000505404;1.84E-10;0;0;0.00E+00;3.07E-11;3.89309E-09;0;4.11E-09;6.00E-12;0;0;0.00E+00;8.21E-12;8.86853E-08;0;8.87E-08;6.30E-08;0;0;0.00E+00;5.19E-10;7.64E-07;8.35E-14;8.28E-07
458.47892;44.66491;44.53784;44.98518;0.004645959;0.00489486;-0.000187112;1.67E-10;0;0;0.00E+00;2.54E-11;3.21627E-09;0;3.41E-09;5.33E-12;0;0;0.00E+00;6.46E-12;7.32672E-08;0;7.33E-08;5.82E-08;0;0;0.00E+00;3.98E-10;6.02E-07;3.93E-14;6.61E-07
