temperature;rate_3;rate_5;rate_10;rate_3_diff;rate_5_diff;rate_10_diff;rate_3_diff_reaction_0;rate_3_diff_reaction_1;rate_3_diff_reaction_2;rate_3_diff_reaction_3;rate_3_diff_reaction_4;rate_3_diff_reaction_5;rate_3_diff_reaction_6;rate_3_diff_reaction_7;rate_3_diff_cumulative;rate_5_diff_reaction_0;rate_5_diff_reaction_1;rate_5_diff_reaction_2;rate_5_diff_reaction_3;rate_5_diff_reaction_4;rate_5_diff_reaction_5;rate_5_diff_reaction_6;rate_5_diff_reaction_7;rate_5_diff_cumulative;rate_10_diff_reaction_0;rate_10_diff_reaction_1;rate_10_diff_reaction_2;rate_10_diff_reaction_3;rate_10_diff_reaction_4;rate_10_diff_reaction_5;rate_10_diff_reaction_6;rate_10_diff_reaction_7;rate_10_diff_cumulative
421.94606;38.26268;39.72832;39.73585;0;0.007010545;0.143853916;0.00E+00;5.60E-16;0;0.00E+00;0.00E+00;2.86E-07;1.07E-06;5.20E-12;1.35E-06;6.57E-12;2.97E-12;0.00E+00;0.00E+00;0.00E+00;5.02E-06;2.12E-04;2.66E-06;2.20E-04;2.12E-13;5.27E-07;2.13E-15;6.67E-14;3.36E-10;0.002610746;0.032145877;0.114456035;0.149213186
422.90098;38.26268;39.72077;39.62885;0;0.008284192;0.146617443;0.00E+00;4.35E-16;0;0.00E+00;0.00E+00;2.44E-07;8.80E-07;2.96E-12;1.12E-06;5.79E-12;2.54E-12;0.00E+00;0.00E+00;0.00E+00;4.14E-06;1.76E-04;1.34E-06;1.81E-04;1.81E-13;4.79E-07;1.56E-15;4.55E-14;1.97E-10;0.002169164;0.027116438;0.122325805;0.151611887
423.85589;38.26268;39.71207;39.47953;0;0.006809245;0.152334606;0.00E+00;3.73E-16;0;0.00E+00;0.00E+00;2.08E-07;7.27E-07;1.69E-12;9.35E-07;5.10E-12;2.16E-12;0.00E+00;0.00E+00;0.00E+00;3.42E-06;1.45E-04;6.80E-07;1.49E-04;1.54E-13;4.36E-07;1.14E-15;3.11E-14;1.16E-10;0.001800537;0.022614857;0.128611108;0.153026938
424.81081;38.26268;39.70527;39.31731;0;0.0072279;0.152525283;0.00E+00;3.11E-16;0;0.00E+00;0.00E+00;1.77E-07;6.01E-07;9.64E-13;7.78E-07;4.49E-12;1.85E-12;0.00E+00;0.00E+00;0.00E+00;2.83E-06;1.20E-04;3.44E-07;1.23E-04;1.32E-13;3.96E-07;7.82E-16;2.12E-14;6.83E-11;0.001493349;0.01867384;0.13248972;0.152657305
425.76572;38.26268;39.70082;39.20747;0;0.006696461;0.143206409;0.00E+00;2.49E-16;0;0.00E+00;0.00E+00;1.51E-07;4.96E-07;5.49E-13;6.48E-07;3.95E-12;1.57E-12;0.00E+00;0.00E+00;0.00E+00;2.34E-06;9.91E-05;1.74E-07;1.02E-04;1.12E-13;3.60E-07;5.68E-16;1.45E-14;4.02E-11;0.001237743;0.015288515;0.1325383;0.149064918
426.72064;38.26268;39.6928;39.05167;0;0.006542;0.127037704;0.00E+00;1.87E-16;0;0.00E+00;0.00E+00;1.29E-07;4.10E-07;3.13E-13;5.39E-07;3.48E-12;1.34E-12;0.00E+00;0.00E+00;0.00E+00;1.93E-06;8.19E-05;8.80E-08;8.39E-05;9.58E-14;3.27E-07;4.26E-16;9.88E-15;2.36E-11;0.001025314;0.012426813;0.126539729;0.139992184
427.67555;38.26268;39.67995;38.91365;0;0.007334814;0.10758394;0.00E+00;1.87E-16;0;0.00E+00;0.00E+00;1.10E-07;3.39E-07;1.79E-13;4.49E-07;3.06E-12;1.14E-12;0;0.00E+00;0.00E+00;1.60E-06;6.77E-05;4.45E-08;6.93E-05;8.17E-14;2.97E-07;2.84E-16;6.76E-15;1.39E-11;0.000848953;0.010040081;0.112093082;0.122982413
428.63047;38.26268;39.6807;38.79505;0;0.007932228;0.080033218;0.00E+00;1.24E-16;0;0.00E+00;0.00E+00;9.39E-08;2.80E-07;1.02E-13;3.74E-07;2.70E-12;9.76E-13;0;0.00E+00;0.00E+00;1.32E-06;5.59E-05;2.25E-08;5.72E-05;6.97E-14;2.70E-07;2.13E-16;4.62E-15;8.19E-12;7.03E-04;8.07E-03;8.90E-02;0.09776289
429.58538;38.26268;39.68223;38.68975;0;0.00830572;0.056294838;0.00E+00;1.24E-16;0;0.00E+00;0.00E+00;8.01E-08;2.31E-07;5.81E-14;3.11E-07;2.37E-12;8.33E-13;0;0.00E+00;0.00E+00;1.09E-06;4.62E-05;1.14E-08;4.73E-05;5.94E-14;2.46E-07;1.42E-16;3.12E-15;4.82E-12;5.81E-04;6.46E-03;6.18E-02;0.068841579
430.5403;38.26268;39.66419;38.66093;0;0.008666083;0.03736288;0.00E+00;1.24E-16;0;0.00E+00;0.00E+00;6.83E-08;1.91E-07;3.31E-14;2.59E-07;2.09E-12;7.10E-13;0;0.00E+00;0.00E+00;8.99E-07;3.82E-05;5.75E-09;3.91E-05;5.07E-14;2.23E-07;1.42E-16;2.14E-15;2.83E-12;4.81E-04;5.16E-03;3.77E-02;0.043343372
431.49521;38.26268;39.6565;38.65863;0;0.008738957;0.015392496;0.00E+00;6.22E-17;0;0.00E+00;0.00E+00;5.83E-08;1.58E-07;1.89E-14;2.16E-07;1.84E-12;6.06E-13;0;0.00E+00;0.00E+00;7.43E-07;3.15E-05;2.91E-09;3.23E-05;4.32E-14;2.03E-07;7.11E-17;1.45E-15;1.67E-12;3.98E-04;4.10E-03;2.08E-02;0.025334056
432.45013;38.26268;39.64631;38.65602;0;0.009239558;0.00388043;0.00E+00;6.22E-17;0;0.00E+00;0.00E+00;4.97E-08;1.30E-07;1.08E-14;1.80E-07;1.62E-12;5.17E-13;0;0.00E+00;0.00E+00;6.14E-07;2.61E-05;1.47E-09;2.67E-05;3.69E-14;1.84E-07;7.11E-17;9.79E-16;9.81E-13;3.29E-04;3.26E-03;1.08E-02;0.014391352
433.40504;38.26268;39.63461;38.65396;0;0.010031501;-0.001221613;0.00E+00;6.22E-17;0;0.00E+00;0.00E+00;4.24E-08;1.08E-07;6.13E-15;1.50E-07;1.43E-12;4.41E-13;0;0.00E+00;0.00E+00;5.07E-07;2.15E-05;7.43E-10;2.20E-05;3.15E-14;1.68E-07;7.11E-17;6.99E-16;5.77E-13;2.72E-04;2.58E-03;5.40E-03;0.008260662
434.35996;38.26268;39.62891;38.64564;0;0.009684529;-0.000671144;0.00E+00;6.22E-17;0;0.00E+00;0.00E+00;3.61E-08;8.90E-08;3.50E-15;1.25E-07;1.26E-12;3.76E-13;0;0.00E+00;0.00E+00;4.19E-07;1.78E-05;3.76E-10;1.82E-05;2.68E-14;1.52E-07;0.00E+00;4.66E-16;3.39E-13;2.25E-04;2.05E-03;2.65E-03;0.004923342
435.31487;38.26268;39.62292;38.63767;0;0.007526766;0.006565895;0.00E+00;6.22E-17;0;0.00E+00;0.00E+00;3.08E-08;7.35E-08;2.00E-15;1.04E-07;1.11E-12;3.20E-13;0;0.00E+00;0.00E+00;3.46E-07;1.47E-05;1.90E-10;1.50E-05;2.29E-14;1.39E-07;0.00E+00;3.26E-16;2.00E-13;1.86E-04;1.62E-03;1.29E-03;0.003092927
436.26979;38.26268;39.61343;38.62903;0;0.008137572;0.008549433;0.00E+00;0.00E+00;0;0.00E+00;0.00E+00;2.63E-08;6.07E-08;1.13E-15;8.70E-08;9.74E-13;2.73E-13;0;0.00E+00;0.00E+00;2.86E-07;1.21E-05;9.61E-11;1.24E-05;1.95E-14;1.26E-07;0.00E+00;2.33E-16;1.17E-13;1.54E-04;1.28E-03;6.23E-04;2.06E-03
437.2247;38.26268;39.60436;38.61987;0;0.00795128;0.008814835;0.00E+00;0.00E+00;0;0.00E+00;0.00E+00;2.24E-08;5.02E-08;6.33E-16;7.26E-08;8.57E-13;2.33E-13;0;0.00E+00;0.00E+00;2.36E-07;1.00E-05;4.86E-11;1.03E-05;1.67E-14;1.14E-07;0.00E+00;1.40E-16;6.91E-14;1.27E-04;1.01E-03;3.00E-04;1.44E-03
