temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_reaction_4,rate_3_diff_reaction_5,rate_3_diff_cumulative,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_reaction_4,rate_5_diff_reaction_5,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_reaction_4,rate_10_diff_reaction_5,rate_10_diff_cumulative
375.38531,40.31201,43.09337,46.9033,0.151314515,0.154247867,0.403606686,3.11E-10,0,4.81E-06,0.015011326,0.050309436,0.078301308,0.143626878,1.51E-05,2.90869E-16,1.13E-05,0.035568333,0.069945318,0.052432218,0.157972298,5.35E-05,4.91E-05,0.400371178,2.9405E-08,0.000173361,0.000283276,0.400930464
376.34023,40.17636,42.95453,46.51509,0.151834145,0.158168632,0.392210807,2.57E-10,0,2.93E-06,0.012489673,0.045163725,0.09127862,0.148934944,1.38E-05,1.45435E-16,6.23E-06,0.030742736,0.068490148,0.06097112,0.160223996,4.81E-05,4.06E-05,0.385397213,8.47922E-08,0.00023819,0.000359533,0.386083721
377.29514,40.02142,42.80733,46.14717,0.155220265,0.166220938,0.378559092,2.13E-10,0,1.78E-06,0.010345502,0.040031903,0.104643186,0.15502237,1.25E-05,1.45436E-16,3.44E-06,0.0264062,0.065259982,0.070445597,0.162127726,4.33E-05,3.35E-05,0.367575071,2.44374E-07,0.000327185,0.000456273,0.36843558
378.25006,39.88277,42.64512,45.79547,0.156282751,0.165832481,0.363939667,1.76E-10,0,1.08E-06,0.008537188,0.03509793,0.117546227,0.161182427,1.14E-05,0,1.90E-06,0.022555011,0.060638933,0.08081126,0.164018471,3.89E-05,2.77E-05,0.346910335,7.0383E-07,0.000449292,0.000578977,0.348005932
379.20497,39.72066,42.48224,45.44499,0.162912353,0.166575331,0.346917678,1.45E-10,0,6.58E-07,0.007022693,0.030485925,0.128644107,0.166153383,1.03E-05,0,1.05E-06,0.019170724,0.055065369,0.091968462,0.166215935,3.50E-05,2.29E-05,0.323583617,2.02538E-06,0.000616699,0.000734567,0.324994803
380.15989,39.58207,42.32227,45.11578,0.166261792,0.168764968,0.324628904,1.20E-10,0,4.00E-07,0.0057616,0.026269529,0.135908184,0.167939714,9.39E-06,0,5.78E-07,0.016224054,0.048972746,0.103744002,0.168950773,3.15E-05,1.89E-05,0.297973781,5.82206E-06,0.000845984,0.000931793,0.299807775
381.1148,39.42769,42.16225,44.79806,0.162494187,0.174447739,0.295008917,9.91E-11,0,2.43151E-07,0.004716605,0.022483155,0.136606991,0.163806994,8.54E-06,0,3.19E-07,0.013679055,0.042746446,0.115852224,0.172286582,2.83E-05,1.56E-05,0.270657328,1.67123E-05,0.001159568,0.001181685,0.273059233
382.06972,39.27804,41.99929,44.51659,0.149260453,0.18148383,0.262182016,8.18E-11,0,1.47778E-07,3.85E-03,0.019131971,0.12801367,0.150999916,7.76E-06,0,1.76E-07,0.011496178,0.03669644,0.127810337,0.176010891,2.55E-05,1.29E-05,0.242369207,4.78837E-05,0.001587625,0.00149814,0.245541232
383.02463,39.12131,41.82889,44.25217,0.130409018,0.186451776,0.228602294,6.76E-11,0,8.98008E-08,3.14E-03,0.016201195,0.109357661,0.128703603,7.05E-06,0,9.70E-08,0.009635089,0.031046901,0.138745371,0.179434512,2.29E-05,1.07E-05,0.213935657,0.000136831,0.002170391,0.001898601,0.21817505
383.97955,38.98727,41.67506,44.01726,0.106492301,0.183934167,0.196347423,5.59E-11,0,5.45612E-08,2.56E-03,0.013663119,0.083872286,0.100098088,6.41E-06,0,5.35E-08,0.008056383,0.025938053,0.147008671,0.181009572,2.06E-05,8.80E-06,0.186182866,0.000389368,0.002960942,0.002404936,0.191967523
