temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_3_diff_reaction_4_conversion,rate_3_diff_reaction_5_conversion,rate_3_diff_reaction_6_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_5_diff_reaction_4_conversion,rate_5_diff_reaction_5_conversion,rate_5_diff_reaction_6_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion,rate_10_diff_reaction_4_conversion,rate_10_diff_reaction_5_conversion,rate_10_diff_reaction_6_conversion
264.02318,0.9822036249486559,0.7141830260268354,0.22322073342560672,0.05107453745073788,1.1901665912227006e-70,2.8726687863780734e-14,1.887247910129993e-12,0.918142974444364,0.4047011622457128,0.07020829552271515,0.01978487368770938,3.1242659083080643e-55,6.454828865430289e-17,1.1175129618616974e-11,0.81676162097799,0.0954842447445786,0.018321574776556028,0.0019053628903519398,2.7173413757631906e-59,2.4008655524183725e-29,2.1381034611721987e-16
264.97809,0.9841152715218583,0.7398957314604024,0.24708226918550713,0.05349280869177029,8.032392057551716e-70,3.950656160177308e-14,2.3978641663159805e-12,0.9252833652998922,0.43584275015769675,0.08060902056514149,0.020838395609746135,1.031189145115638e-54,8.869901826608797e-17,1.3526574911468797e-11,0.8306626149402898,0.10394884571941129,0.02011369145216305,0.002039372400393337,7.849684184738364e-59,3.8739924644880625e-29,2.7168211805463e-16
265.93301,0.9858278450692737,0.7644068052357897,0.2726958780313818,0.056019672423764426,5.427208927292588e-69,5.430377958994891e-14,3.0455903431445007e-12,0.9318814723585146,0.4675823632341773,0.09229560799609775,0.021948511684619573,3.405083819817834e-54,1.2195329393091355e-16,1.637258804794146e-11,0.8438965632611057,0.11306415518462282,0.02207650370980599,0.0021827004525237052,2.2635974532098994e-58,6.242549460364819e-29,3.4469790507846523e-16
266.88792,0.9873609239298935,0.7875843909513467,0.3000626068294148,0.05866348191525581,3.6670247586329186e-68,7.465832379087856e-14,3.868249866999702e-12,0.9379655173098378,0.4997069992050214,0.10535967514665442,0.0231152219123297,1.1225747942586736e-53,1.676214960317034e-16,1.9816578668064778e-11,0.8564461341327966,0.12286327835407074,0.02422534674494354,0.0023362345269419943,6.549478713314429e-58,1.0062569737251417e-28,4.3772542632364786e-16
267.84284,0.9887323736177569,0.8093279753457737,0.3291672597430801,0.06142423716624445,2.475607585348262e-67,1.0264582206715682e-13,4.90839409256375e-12,0.943564349858941,0.5319912976863876,0.11988380796679947,0.024342879689248562,3.707482328934399e-53,2.304434873894621e-16,2.3988932839702427e-11,0.8683002639509445,0.1333782714830927,0.02657675619436978,0.0025004183637476795,1.887138733611495e-57,1.622226216860164e-28,5.556324009251003e-16
268.79775,0.9899584614611567,0.829569889975246,0.3599788023721795,0.06431029144526584,1.6706811694539435e-66,1.4107841539391213e-13,6.232214016008901e-12,0.9487070522210971,0.564201975838442,0.13593819140298777,0.025635838411748213,1.2227126550365615e-52,3.1696479285224355e-16,2.902453270202373e-11,0.8794542168663484,0.14463960451671848,0.029148517882535443,0.00267613944313971,5.465849585798778e-57,2.6187532456131894e-28,7.05449978744377e-16
269.75267,0.9910539593854951,0.8482749113549302,0.39245139102054616,0.06732999802085553,1.1277915557107697e-65,1.9397344802132801e-13,7.910628561805432e-12,0.9534225555989271,0.5961027781856891,0.1535776128182264,0.026994098079828655,4.0318213534341606e-52,4.358375429663259e-16,3.5139189677699594e-11,0.8899094188602727,0.15667564033185175,0.03195973022322555,0.0028642852453170356,1.5794823422650691e-56,4.221861944041969e-28,8.958318826880065e-16
270.70758,0.9920322588864712,0.8654383925404876,0.4265255903301008,0.07048335689301351,7.610722077460865e-65,2.669552018996613e-13,1.004292422421173e-11,0.9577393482699321,0.6274598459977835,0.17283885262339455,0.028422012089861944,1.3303198888521072e-51,5.990994845787048e-16,4.255770733201223e-11,0.8996731913937619,0.16951201246340117,0.03503084171441862,0.003065743250478606,4.558169818037717e-56,6.799834040163926e-28,1.13759526638915e-15
271.6625,0.9929054728109921,0.8810829991298769,0.46212981767794886,0.07377872133027527,5.135097620011211e-64,3.6671925077921777e-13,1.2747299210678253e-11,0.9616852008403459,0.658047340913585,0.19373896035242819,0.029923933838220125,4.390006358468272e-51,8.233025196039993e-16,5.150488923024383e-11,0.9087582852101825,0.18317103797058276,0.03838370034802931,0.0032809571987238956,1.3183505853998082e-55,1.0959251203654816e-27,1.4442615718892578e-15
272.61741,0.9936845428992679,0.8952547006207174,0.49918136625331355,0.07722026796690862,3.46597691528008e-63,5.039785126604868e-13,1.6184503083337627e-11,0.9652869752060576,0.6876531988796576,0.216274326978439,0.031504216721275256,1.4479058725952607e-50,1.1317697825582636e-15,6.234042107684591e-11,0.9171823560096605,0.19767104196473595,0.0420415705061555,0.0035112583103513294,3.804161716260435e-55,1.7667755621854532e-27,1.8336791026830453e-15
