temperature,rate_3,rate_10,rate_5,rate_3_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_reaction_4,rate_3_diff_reaction_5,rate_3_diff_cumulative,rate_5_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_reaction_4,rate_5_diff_reaction_5,rate_5_diff_cumulative,rate_10_diff,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_reaction_4,rate_10_diff_reaction_5,rate_10_diff_cumulative
65.05394,100.01931,99.99081,100.04866,0.000211733,1.71294E-06,1.27441E-11,6.62789E-05,1.1776E-172,4.90146E-33,8.0852E-21,6.79919E-05,-0.004235559,6.08812E-07,4.10878E-17,9.8947E-05,1.747E-180,8.3361E-35,4.42736E-25,9.95558E-05,-0.000748943,3.49837E-07,5.40968E-15,1.35227E-05,8.0018E-182,1.18808E-48,2.91731E-31,1.38726E-05
66.00886,100.01517,99.98916,100.05557,0.000568562,1.85482E-06,1.44745E-11,6.88077E-05,4.6072E-172,6.22307E-33,9.26694E-21,7.06625E-05,-0.004253461,6.61524E-07,4.97343E-17,0.000102379,6.8352E-180,1.05838E-34,5.19116E-25,0.000103041,0.000857855,3.78813E-07,6.28457E-15,1.40716E-05,2.8425E-181,1.63336E-48,3.53123E-31,1.44504E-05
66.96377,100.01414,99.99424,100.05638,7.19E-05,2.00845E-06,1.64399E-11,7.14329E-05,1.8025E-171,7.90101E-33,1.06214E-20,7.34414E-05,-0.002864052,7.18799E-07,6.02003E-17,0.00010593,2.6742E-179,1.34375E-34,6.08671E-25,0.000106649,0.002399662,4.10189E-07,7.30096E-15,1.46428E-05,1.0097E-180,2.24554E-48,4.27433E-31,1.5053E-05
67.91869,100.01689,99.9921,100.0596,-0.00137941,2.17481E-06,1.86721E-11,7.41584E-05,7.0524E-171,1.00314E-32,1.21738E-20,7.63332E-05,-0.002281431,7.81034E-07,7.28688E-17,0.000109604,1.0463E-178,1.70608E-34,7.13678E-25,0.000110385,0.00249028,4.44164E-07,8.48173E-15,1.52371E-05,3.5869E-180,3.08716E-48,5.17383E-31,1.56813E-05
68.8736,100.01758,99.9854,100.06442,-0.003328344,2.35494E-06,2.12075E-11,7.69877E-05,2.7592E-170,1.27362E-32,1.39531E-20,7.93427E-05,-0.001508914,8.48656E-07,8.82032E-17,0.000113406,4.0935E-178,2.16609E-34,8.36799E-25,0.000114255,0.00169383,4.80954E-07,9.85345E-15,1.58556E-05,1.2742E-179,4.24421E-48,6.26259E-31,1.63365E-05
69.82852,100.02155,99.98154,100.06516,-0.004587681,2.55E-06,2.40871E-11,7.99251E-05,1.0795E-169,1.61703E-32,1.59925E-20,8.24751E-05,-0.000126129,9.22133E-07,1.06765E-16,0.00011734,1.6016E-177,2.75015E-34,9.81161E-25,0.000118262,0.001055432,5.2079E-07,1.1447E-14,1.64991E-05,4.5262E-179,5.83493E-48,7.58049E-31,1.70199E-05
70.78343,100.02793,99.97972,100.05799,-0.003962722,2.76121E-06,2.73577E-11,8.29744E-05,4.2236E-169,2.05304E-32,1.83299E-20,8.57357E-05,0.000575878,1.00197E-06,1.29232E-16,0.00012141,6.2661E-177,3.49168E-34,1.15043E-24,0.000122411,0.000882387,5.63926E-07,1.32983E-14,1.71688E-05,1.6078E-178,8.02182E-48,9.17572E-31,1.77327E-05
71.73835,100.03414,99.9799,100.05718,-0.002421559,2.98991E-06,3.10724E-11,8.61401E-05,1.6525E-168,2.60661E-32,2.1009E-20,8.91301E-05,0.00146336,1.08872E-06,1.56428E-16,0.000125621,2.4516E-176,4.43316E-34,1.3489E-24,0.000126709,0.000443476,6.10635E-07,1.5449E-14,1.78657E-05,5.7116E-178,1.10284E-47,1.11067E-30,1.84763E-05
72.69326,100.03654,99.98789,100.06278,-0.001025181,3.23756E-06,3.52915E-11,8.94266E-05,6.4652E-168,3.30944E-32,2.40797E-20,9.26642E-05,0.002061935,1.18299E-06,1.89346E-16,0.000129978,9.5917E-176,5.62848E-34,1.5816E-24,0.000131161,-0.000553474,6.61212E-07,1.79476E-14,1.85908E-05,2.0289E-177,1.51617E-47,1.34439E-30,1.9252E-05
73.64818,100.03379,99.98695,100.05998,0.000422349,3.50572E-06,4.00835E-11,9.28384E-05,2.5295E-167,4.20178E-32,2.75991E-20,9.63442E-05,0.001302355,1.28541E-06,2.29192E-16,0.000134486,3.7527E-175,7.14612E-34,1.85446E-24,0.000135771,-0.00079514,7.15979E-07,2.08502E-14,1.93454E-05,7.2073E-177,2.08443E-47,1.6273E-30,2.00614E-05
74.60309,100.03172,99.98603,100.05536,0.001608557,3.79608E-06,4.55261E-11,9.63804E-05,9.8964E-167,5.33471E-32,3.1633E-20,0.000100177,0.000225188,1.3967E-06,2.77422E-16,0.00013915,1.4682E-174,9.07295E-34,2.17438E-24,0.000140547,-0.000515182,7.75282E-07,2.42222E-14,2.01306E-05,2.5602E-176,2.86566E-47,1.96975E-30,2.09059E-05
75.55801,100.02646,99.98196,100.05438,0.001947558,4.1105E-06,5.17078E-11,0.000100058,3.872E-166,6.77314E-32,3.62564E-20,0.000104168,-0.000217125,1.51763E-06,3.35803E-16,0.000143976,5.7444E-174,1.15193E-33,2.5495E-24,0.000145494,-0.000718589,8.39497E-07,2.81397E-14,2.09477E-05,9.0948E-176,3.93971E-47,2.38427E-30,2.17872E-05
76.51292,100.02724,99.98412,100.05358,0.00156468,4.45096E-06,5.87288E-11,0.000103875,1.5149E-165,8.5994E-32,4.15556E-20,0.000108326,-0.000126873,1.64902E-06,4.06469E-16,0.00014897,2.2474E-173,1.46253E-33,2.98933E-24,0.000150619,-0.001457287,9.09031E-07,3.26906E-14,2.17979E-05,3.2307E-175,5.41628E-47,2.88601E-30,2.27069E-05
77.46784,100.02655,99.98579,100.05838,0.000459674,4.81963E-06,6.67032E-11,0.000107838,5.9269E-165,1.09181E-31,4.76294E-20,0.000112658,4.31E-06,1.7918E-06,4.92006E-16,0.000154137,8.7931E-173,1.85688E-33,3.50504E-24,0.000155928,-0.00245552,9.84324E-07,3.79776E-14,2.26826E-05,1.1477E-174,7.4463E-47,3.49334E-30,2.3667E-05
78.42275,100.02689,99.98885,100.05958,5.58E-05,5.21882E-06,7.57603E-11,0.000111952,2.3189E-164,1.3862E-31,5.45908E-20,0.000117171,-0.000573658,1.94693E-06,5.95543E-16,0.000159482,3.4402E-172,2.35756E-33,4.10971E-24,0.000161429,-0.002716418,1.06585E-06,4.41196E-14,2.36033E-05,4.0768E-174,1.02371E-46,4.22847E-30,2.46691E-05
79.37767,100.02758,99.9929,100.05838,0.001444911,5.65108E-06,8.60473E-11,0.000116223,9.0725E-164,1.75997E-31,6.25698E-20,0.000121874,-0.000657114,2.1155E-06,7.20869E-16,0.000165014,1.346E-171,2.99324E-33,4.81871E-24,0.000167129,-0.002025328,1.15414E-06,5.1255E-14,2.45613E-05,1.4482E-173,1.4074E-46,5.1183E-30,2.57154E-05
80.33258,100.02633,99.99966,100.06005,0.002168374,6.11914E-06,9.77309E-11,0.000120657,3.5495E-163,2.23451E-31,7.17149E-20,0.000126776,0.000240108,2.29866E-06,8.72567E-16,0.000170737,5.2661E-171,3.80032E-33,5.65002E-24,0.000173035,-0.001040338,1.24973E-06,5.95443E-14,2.55582E-05,5.1444E-173,1.93488E-46,6.19539E-30,2.68079E-05
81.2875,100.02428,99.99831,100.0553,0.00237559,6.62597E-06,1.11001E-10,0.00012526,1.3888E-162,2.83702E-31,8.21968E-20,0.000131886,0.000848965,2.49768E-06,1.05619E-15,0.000176658,2.0603E-170,4.82502E-33,6.62474E-24,0.000179156,9.62E-05,1.35324E-06,6.91743E-14,2.65955E-05,1.8275E-172,2.66007E-46,7.49915E-30,2.79488E-05
82.24241,100.02272,99.99249,100.05281,0.003249191,7.17478E-06,1.26073E-10,0.000130039,5.4334E-162,3.60197E-31,9.42105E-20,0.000137214,0.001290696,2.71393E-06,1.27845E-15,0.000182785,8.0609E-170,6.126E-33,7.76762E-24,0.000185499,0.001208145,1.46533E-06,8.03616E-14,2.7675E-05,6.4916E-172,3.65704E-46,9.07725E-30,2.91403E-05
83.19733,100.01208,99.98791,100.05998,0.003562027,7.76904E-06,1.43192E-10,0.000135,2.1258E-161,4.57319E-31,1.0798E-19,0.000142769,0.001632934,2.9489E-06,1.54749E-15,0.000189124,3.1538E-169,7.77779E-33,9.10767E-24,0.000192073,0.00236661,1.5867E-06,9.33583E-14,2.87983E-05,2.306E-171,5.02769E-46,1.09875E-29,3.0385E-05
84.15224,100.00831,99.98913,100.05278,0.00330264,8.41252E-06,1.62635E-10,0.00014015,8.317E-161,5.80627E-31,1.23762E-19,0.000148563,0.001527377,3.20422E-06,1.87314E-15,0.000195683,1.2339E-168,9.87494E-33,1.06789E-23,0.000198887,0.003201092,1.71812E-06,1.08457E-13,2.99671E-05,8.1917E-171,6.91204E-46,1.32996E-29,3.16852E-05
85.10716,100.0185,99.98872,100.05238,0.002429139,9.1093E-06,1.84718E-10,0.000145497,3.254E-160,7.37184E-31,1.41852E-19,0.000154606,0.00118438,3.48164E-06,2.26732E-15,0.000202469,4.8276E-168,1.25376E-32,1.25212E-23,0.000205951,0.002994225,1.86043E-06,1.25997E-13,3.11834E-05,2.9099E-170,9.50266E-46,1.60984E-29,3.30439E-05
86.06207,100.00643,99.98576,100.05198,0.000779079,9.86379E-06,2.09799E-10,0.000151047,1.2731E-159,9.35953E-31,1.62584E-19,0.000160911,0.001544161,3.78308E-06,2.74445E-15,0.00020949,1.8888E-167,1.59181E-32,1.46813E-23,0.000213273,0.002094066,2.01452E-06,1.46375E-13,3.24491E-05,1.0337E-169,1.30642E-45,1.94861E-29,3.44636E-05
87.01699,100.00724,99.98201,100.04639,-0.001351878,1.06808E-05,2.38286E-10,0.000156809,4.981E-159,1.18832E-30,1.86348E-19,0.00016749,0.00224655,4.11062E-06,3.322E-15,0.000216755,7.3898E-167,2.02102E-32,1.72141E-23,0.000220866,0.001851548,2.18138E-06,1.70047E-13,3.37661E-05,3.672E-169,1.79606E-45,2.35868E-29,3.59475E-05
