temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_3_diff_reaction_4_conversion,rate_3_diff_reaction_5_conversion,rate_3_diff_reaction_6_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_5_diff_reaction_4_conversion,rate_5_diff_reaction_5_conversion,rate_5_diff_reaction_6_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion,rate_10_diff_reaction_4_conversion,rate_10_diff_reaction_5_conversion,rate_10_diff_reaction_6_conversion
266.525,0.8437594948735399,0.07663763000931774,0.020586761524346235,0.05966289526130666,9.842891217358103e-52,1.1884008344856743e-15,5.074919986063899e-13,0.8032171481293836,0.1925592824882204,0.02520974565124997,0.016156219842684127,9.781874319389998e-44,2.741599146762472e-16,6.96695484171345e-11,0.36874214189503585,0.015283247638296148,0.0017249105349109552,0.001960282432002361,1.690911739857859e-60,1.2711381565789863e-19,1.2655416235862105e-15
267.47992,0.8617560083971083,0.09098857056659305,0.02472032602427112,0.06190198692170899,3.246156810341353e-51,1.6337210318034765e-15,6.4440284225066e-13,0.8205023947464197,0.21266965591856565,0.028743921262655018,0.017071279024975947,2.541257934047453e-43,3.772892066867452e-16,8.433000812610105e-11,0.3826578913255187,0.017817949758429742,0.0019761222756530974,0.002098198484588853,4.8819441620347927e-60,1.748198139801911e-19,1.6068182130899582e-15
268.43483,0.8783952896691917,0.10765547879341705,0.029637991738648447,0.06422273451598397,1.0706351993812262e-50,2.246596313423953e-15,8.178645446053915e-13,0.8369916160902768,0.23415456882245334,0.032750343009310914,0.01803741127790731,6.601541664376511e-43,5.184135010169004e-16,1.0207128907825623e-10,0.396832506085785,0.020753966152399116,0.0022637700353128477,0.0022457560849245524,1.4113145097618065e-59,2.4030088379276083e-19,2.039976961306253e-15
269.38975,0.8936304776445738,0.1268751389881279,0.03546954617807048,0.06662513804413159,3.530912334355676e-50,3.0888518174053096e-15,1.0384087090278357e-12,0.8526174880761628,0.25699073531464167,0.0372854918466416,0.019058872690698184,1.714533085019684e-42,7.129117271770502e-16,1.2353080256529422e-10,0.4112539122413849,0.02414832093449887,0.0025930923479538567,0.002403793628465913,4.083171021981383e-59,3.304376979305539e-19,2.590019816184088e-15
270.34466,0.9074487079340388,0.14886126003465303,0.0423587902491742,0.06911349518688198,1.1655779163162428e-49,4.2447130941456815e-15,1.3184254571147592e-12,0.8673251815381889,0.28113777934934436,0.04241076327918568,0.020135663263348556,4.461467636062349e-42,9.79781386327023e-16,1.4950531270183278e-10,0.4259089126359938,0.028063977429968814,0.002970065589581431,0.00257273031294116,1.1794832708908974e-58,4.542898089595825e-19,3.290074358755878e-15
271.29958,0.9198689682438053,0.1737870929069721,0.05046228272618574,0.07169210362496528,3.84410544229649e-49,5.839622452748676e-15,1.6740219469419586e-12,0.8810741074133189,0.30653824763176124,0.04819242650421055,0.0212720390850784,1.159239874331452e-41,1.3470664087503756e-15,1.809509364254132e-10,0.4407831726146533,0.03256978510124911,0.0034015053364502596,0.002753404533806747,3.408140835585899e-58,6.240130722215846e-19,4.177643510945111e-15
272.25449,0.9309381344025268,0.20176595901758052,0.05994680643537351,0.07436096335838151,1.2683246278031307e-48,8.025902697125813e-15,2.1256418791440986e-12,0.893839077160639,0.33311783719889004,0.054701380319209375,0.02247225624510767,3.0090274507911595e-41,1.8518571538543923e-15,2.1903626110414153e-10,0.455861186477765,0.03774012719009373,0.003895176141381492,0.0029466546865191266,9.840856988228291e-58,8.579559486097497e-19,5.302731168649774e-15
273.20941,0.9407255942639141,0.23283178799037493,0.07098554655013656,0.07712437206786078,4.184943489426066e-48,1.1036518115612365e-14,2.6986850029945506e-12,0.9056106264274039,0.36078596871562224,0.06201277906983613,0.023740570832656335,7.818475149586398e-41,2.545718267644322e-15,2.6514234453668847e-10,0.47112626180293166,0.04365429897806674,0.004459918625172223,0.003153738364262978,2.845521278426041e-57,1.1802007930463888e-18,6.734092688729595e-15
274.16432,0.9493173904915949,0.2669213402477533,0.08375266923459665,0.07998662743413326,1.3807801638318066e-47,1.517611431603137e-14,3.423507116405393e-12,0.9163946451449836,0.38943641081361896,0.07020538166684331,0.02507698284772439,2.0304541290689424e-40,3.4955933256357508e-15,3.2091583255993074e-10,0.48656048773828786,0.05039545097177896,0.005105785738844434,0.003375074764766527,8.214559957009454e-57,1.6228574120945837e-18,8.54673391503155e-15
275.11924,0.9568103029855617,0.3038610791308349,0.09841663060473388,0.08295202713792905,4.555331305734323e-47,2.086581905037351e-14,4.346571175364499e-12,0.9262112116951063,0.41894805393847184,0.07936072678907775,0.0264857483795318,5.276831325755729e-40,4.807325548576296e-15,3.8837519426423335e-10,0.5021447206381536,0.05804916639707779,0.005844199626063163,0.0036119214812144543,2.3789837255730206e-56,2.230650179181483e-18,1.0853163613326108e-14
